id,canonical_name,country_iso,country_tier,country_tier_label,trl_level,trl_band,trl_evidence,trl_confidence,trl_source_url,trl_history_count,subsystem_count,primary_approach,all_approaches,tech_tree_node_count,tech_tree_primary_node,tech_tree_primary_method,tech_tree_primary_confidence,tech_tree_primary_reasoning,tech_tree_primary_source_url,tech_tree_all_nodes,tech_tree_all_methods,tech_tree_all_confidences,tech_tree_all_reasonings,tech_tree_all_source_urls,tech_tree_product_clusters,vc_funding_stage,vc_funding_stage_reasoning,foreign_ownership_flag,foreign_ownership_flag_reasoning,key_investors,key_investors_count,role_in_supply_chain,role_in_supply_chain_confidence,role_in_supply_chain_reasoning,role_in_supply_chain_source_url,regulatory_risk_score,regulatory_risk_score_confidence,regulatory_risk_score_reasoning,regulatory_risk_score_source_url,export_control_exposure,export_control_exposure_confidence,export_control_exposure_reasoning,customer_count_band,customer_count_band_reasoning,current_capacity,current_capacity_reasoning,manufacturing_countries,manufacturing_countries_reasoning,critical_material_deps,sole_source_dependency,critical_material_deps_reasoning,financial_risk_score,financial_risk_label,financial_risk_summary,commercial_risk_score,commercial_risk_label,commercial_risk_summary,manufacturing_risk_score,manufacturing_risk_label,manufacturing_risk_summary,geopolitical_risk_score,geopolitical_risk_label,geopolitical_risk_summary,founded_year,headcount_range,funding_total_usd,domain,linkedin_url,linkedin_industry,linkedin_headquarters,linkedin_specialties,linkedin_company_size_text,has_ownership_chain,ownership_top_shareholders,effective_country_tier,tier_shift,description,source,source_url,discovered_via,confidence,last_seen_at
imas-github,IMAS — ITER Integrated Modelling & Analysis Suite,FR,,,,,,,,0,0,supplier.simulation_software,supplier.simulation_software,3,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://github.com/iterorganization/imas-python,concept_lts_tokamak|milestone_iter_construction|tech_ai_ml_control,deterministic|deterministic|deterministic,0.70|0.80|0.70,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.|approach tag 'supplier.simulation_software': Simulation-software supplier maps to AI/ML & computational enabling-tech node.,https://github.com/iterorganization/imas-python|https://github.com/iterorganization/imas-python|https://github.com/iterorganization/imas-python,||,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.4,ITER's modelling framework; software-only.,https://github.com/iterorganization/imas-python,0.2,0.8,Open-source simulation software.,https://github.com/iterorganization/imas-python,Low,0.7,Open-source modelling.,0,Open-source code.,Lab Scale,Software-only.,,,,False,,0.12,low,National lab / university / open-source project funded by government appropriations or institutional budgets rather than VC. Not exposed to commercial burn-rate risk.,0.12,low,Not a commercial entity (national lab / university / open-source project); commercial traction is not the relevant metric. Mission is research/public-goods delivery.,0.08,low,Pure software / open-source / simulation project; no physical manufacturing footprint. Role: Operator.,0.15,low,"HQ FR (tier ), foreign ownership None, manufacturing in n/a, export-control Low. Tier-1 base with limited export-control / cross-border factors.",,,,github.com,,,,,,False,,,False,ITER's integrated modelling framework; canonical data-dictionary for tokamak data exchange.,manual,https://github.com/iterorganization/imas-python,github_curated_v10,0.75,2026-05-11 19:44:00
ips-framework-github,IPS — Integrated Plasma Simulator,US,,,,,,,,0,0,supplier.simulation_software,supplier.simulation_software,1,tech_ai_ml_control,deterministic,0.7,approach tag 'supplier.simulation_software': Simulation-software supplier maps to AI/ML & computational enabling-tech node.,https://github.com/HPC-SimTools/IPS-framework,tech_ai_ml_control,deterministic,0.70,approach tag 'supplier.simulation_software': Simulation-software supplier maps to AI/ML & computational enabling-tech node.,https://github.com/HPC-SimTools/IPS-framework,,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Component Manufacturer,0.4,Plasma simulation orchestration framework — software supplier role,https://github.com/HPC-SimTools/IPS-framework,0.1,0.8,Open-source simulation software,https://github.com/HPC-SimTools/IPS-framework,Low,0.75,Open-source simulation software,Unknown,Open-source community,Lab Scale,Open-source software project,,,,False,,0.2,low,"IPS — Integrated Plasma Simulator is an open-source / community project, not a venture-backed entity; no commercial burn-rate risk. Sustainability depends on volunteer maintainers rather than runway.",0.15,low,IPS — Integrated Plasma Simulator is a non-commercial open-source community project; commercial traction is not applicable. Marking low risk by convention.,0.1,low,IPS — Integrated Plasma Simulator is pure software / simulation – no physical manufacturing exposure.,0.2,low,"IPS — Integrated Plasma Simulator (US, tier=None): unknown tier (iso=US), Low export exposure.",,,,github.com,,,,,,False,,,False,Plasma-simulation orchestration framework for coupled physics codes.,manual,https://github.com/HPC-SimTools/IPS-framework,github_curated_v10,0.75,2026-05-11 19:44:00
idaho-national-laboratory-fusion-safety,Idaho National Laboratory Fusion Safety,US,1,aligned,,,,,,0,0,supplier.tritium_handling,supplier.tritium_handling|supplier.fuel_cycle,1,tech_tritium_breeding,deterministic,0.85,approach tag 'supplier.tritium_handling': Tritium-handling supplier tag maps to tritium breeding/handling enabling-tech node.,https://www.fusionindustryassociation.org/about/members/,tech_tritium_breeding,deterministic,0.85,approach tag 'supplier.tritium_handling': Tritium-handling supplier tag maps to tritium breeding/handling enabling-tech node.,https://www.fusionindustryassociation.org/about/members/,,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.7,DOE national lab with tritium handling / fuel cycle activities,https://www.fusionindustryassociation.org/about/members/,0.85,0.8,Tritium handling at industrial scale; full nuclear qualification path,https://www.fusionindustryassociation.org/about/members/,High,0.85,Tritium / fuel cycle technologies are heavily export-controlled,0,National lab,Pilot Line,National lab tritium facilities,US:manufacturing,US DOE national lab in Idaho,Lithium | Tritium,False,Tritium breeding work implies lithium | Tritium handling specialty,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.55,medium,"Government lab Operator at Pilot Line handling sensitive materials (Lithium, Tritium); regulated supply but no commercial-scale bottleneck.",0.4,medium,Tier-1 HQ (US) with high export-control exposure; no tier-3 entanglement.,,,,inl.gov,,,,,,False,,,False,,fia,https://www.fusionindustryassociation.org/about/members/,,0.95,2026-05-11T14:52:49+00:00
inertia-8a39,Inertia 8a39,,,,,,,,,0,0,,,0,,,,,,,,,,,,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,manual,https://www.crunchbase.com/organization/inertia-8a39,serp:crunchbase,0.55,2026-05-11 19:38:17
inertia-fusion,Inertia Fusion,US,1,aligned,,,,,,0,0,inertial.laser_direct,inertial.laser_direct,1,concept_icf,deterministic,0.85,approach tag 'inertial.laser_direct': Direct-drive laser ICF approach tag — maps to ICF concept (driver detail captured separately).,https://www.fusionindustryassociation.org/about/members/,concept_icf,deterministic,0.85,approach tag 'inertial.laser_direct': Direct-drive laser ICF approach tag — maps to ICF concept (driver detail captured separately).,https://www.fusionindustryassociation.org/about/members/,,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.7,US fusion startup pursuing inertial-confinement approach,https://www.fusionindustryassociation.org/about/members/,0.5,0.55,ICF startup; laser/target physics — some classified-tech adjacency,https://www.fusionindustryassociation.org/about/members/,High,0.55,Laser-direct ICF can entail ITAR-controlled tech,0,Operator building its own device,Lab Scale,Pre-commercial startup,,,,False,,0.8,high,"Founded 2024 direct-drive ICF operator, 0 customers, lab-scale, no disclosed funding. Very recent founding plus capital-intensive ICF approach implies critical burn pressure.",0.85,critical,Pre-revenue fusion operator with 0 off-takers and Lab Scale. No demonstrated commercial market and net-energy break-even still pending — high probability of failing to achieve commercial traction.,0.55,high,Lab Scale only in Operator role — no manufacturing infrastructure yet; substantial CapEx and capability build-out remains.,0.4,medium,Tier-1 HQ (US) with High export-control exposure (typical for HTS magnets / tritium / ICF / laser tech); manageable via licensing but adds friction to international sales.,2024,,,inertia.com,,,,,,False,,,False,US fusion startup pursuing inertial-confinement approach.,fia,https://www.fusionindustryassociation.org/about/members/,,1.0,2026-05-11T14:52:49+00:00
inoxcva,InoxCVA,IN,2,neutral_partner,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://www.iter.org/proc/overview,concept_lts_tokamak|milestone_iter_construction,deterministic|deterministic,0.70|0.80,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.,https://www.iter.org/proc/overview|https://www.iter.org/proc/overview,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Component Manufacturer,0.85,Supplies cryolines for ITER,https://www.iter.org/proc/overview,0.65,0.7,ITER cryogenic component supplier; nuclear-qualified work,https://www.iter.org/proc/overview,Medium,0.6,Cryogenic systems have dual-use export controls,20+,Inox group is a major cryogenic equipment manufacturer,Commercial Factory,Established industrial cryogenic equipment manufacturer,IN:manufacturing,Indian Inox group manufactures cryolines for ITER,,False,,0.15,low,"Established commercial supplier / integrator with existing revenue (20+ or 1-5 customers, Commercial Factory capacity); no VC runway concern.",0.15,low,Commercial Factory capacity with 20+ existing customers as Component Manufacturer; product is proven in market with diversified buyer base.,0.45,medium,India-based Component Manufacturer (cryogenics) with single-country footprint but established Commercial Factory and no sole-source material risk.,0.45,medium,Tier-2 HQ (IN) with Medium export-control exposure; partner status with West but cryogenic/nuclear dual-use sensitivities.,,,,,,,,,,False,,,False,Inox Group company supplying cryolines for ITER project,iter_supplier,https://www.iter.org/proc/overview,,0.7,2026-05-11T14:52:49+00:00
ifa,"Institute for Atomic Physics and Spectroscopy, Romania",RO,1,aligned,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.55,EUROfusion consortium member — research institute,https://euro-fusion.org/eurofusion/members/,0.35,0.55,Academic plasma research at lab scale,https://euro-fusion.org/eurofusion/members/,Low,0.55,Academic research,Unknown,Not a commercial vendor,Lab Scale,Academic research institute,,,,False,,0.15,low,"Government-funded national lab / university research entity; not VC-dependent. Operates on programmatic budgets, not commercial revenue. Financial sustainability tied to public funding rather than burn rate.",0.15,low,"Not a commercial entity — public research institution / open-source project; commercial market-traction risk is not applicable. Mission is research, not product sales.",0.2,low,Academic / national-lab research entity at lab scale with no manufacturing scale-up plans — manufacturing-risk dimension not applicable.,0.15,low,"Tier-1 HQ (RO), Low export-control exposure, no foreign ownership disclosed. Minimal geopolitical risk profile.",,,,,,,,,,False,,,False,EUROfusion consortium member; acronym: IFA,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
inrne,"Institute for Nuclear Research and Nuclear Energy, Bulgarian Academy of Sciences",BG,1,aligned,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.6,Bulgarian Academy nuclear research institute.,https://euro-fusion.org/eurofusion/members/,0.55,0.55,Nuclear research institute.,https://euro-fusion.org/eurofusion/members/,Medium,0.5,Nuclear research dual-use.,0,Academic.,Lab Scale,Research institute.,,,,False,,0.12,low,National lab / university / open-source project funded by government appropriations or institutional budgets rather than VC. Not exposed to commercial burn-rate risk.,0.12,low,Not a commercial entity (national lab / university / open-source project); commercial traction is not the relevant metric. Mission is research/public-goods delivery.,0.15,low,Academic / national lab — no commercial production scaling required. Role Operator.,0.2,low,"HQ BG (tier 1), foreign ownership None, manufacturing in n/a, export-control Medium. Tier-1 base with limited export-control / cross-border factors.",,,,,,,,,,False,,,False,EUROfusion consortium member; acronym: INRNE,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
institute-for-plasma-research,Institute for Plasma Research,IN,2,neutral_partner,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://www.iter.org/proc/overview,concept_lts_tokamak|milestone_iter_construction,deterministic|deterministic,0.70|0.80,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.,https://www.iter.org/proc/overview|https://www.iter.org/proc/overview,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.75,Indian domestic agency running ITER-India project,https://www.iter.org/proc/overview,0.7,0.65,ITER-India agency — full nuclear qualification path,https://www.iter.org/proc/overview,High,0.65,ITER procurement involves export-controlled components,Unknown,Government agency,Lab Scale,Government research institute,IN:manufacturing,Domestic agency in Ahmedabad procuring ITER components from Indian industry,,False,,0.15,low,"Government-funded national lab / university research entity; not VC-dependent. Operates on programmatic budgets, not commercial revenue. Financial sustainability tied to public funding rather than burn rate.",0.15,low,"Not a commercial entity — public research institution / open-source project; commercial market-traction risk is not applicable. Mission is research, not product sales.",0.2,low,Academic / national-lab research entity at lab scale with no manufacturing scale-up plans — manufacturing-risk dimension not applicable.,0.45,medium,"Tier-2 country (IN) HQ — export-control and end-use scrutiny is moderate for fusion-relevant technology, with potential transfer restrictions to tier-3 partners.",,,,,,,,,,False,,,False,"Indian domestic agency running ITER-India project; based in Ahmedabad, Gujarat",iter_supplier,https://www.iter.org/proc/overview,,0.7,2026-05-11T14:52:49+00:00
ifpilm,Institute of Plasma Physics and Laser Microfusion,PL,1,aligned,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.85,Polish national institute of plasma physics and laser microfusion,https://euro-fusion.org/eurofusion/members/,0.45,0.55,National research institute; laser microfusion focus,https://euro-fusion.org/eurofusion/members/,Medium,0.55,Laser fusion research has dual-use exposure,0,Research institute,Lab Scale,Research institute,,,,False,,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.2,low,Academic / lab research operator with no physical production line and no critical material dependencies.,0.25,low,Tier-1 HQ (PL) with medium export-control exposure; no tier-3 entanglement.,,,,,,,,,,False,,,False,EUROfusion consortium member; acronym: IFPiLM,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
ipp-cr,Institute of Plasma Physics of the Czech Academy of Sciences,CZ,1,aligned,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.85,Czech institute of plasma physics; EUROfusion member,https://euro-fusion.org/eurofusion/members/,0.4,0.55,National research center,https://euro-fusion.org/eurofusion/members/,Medium,0.5,Research institute; limited info,0,Research institute,Lab Scale,Research institute,,,,False,,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.2,low,Academic / lab research operator with no physical production line and no critical material dependencies.,0.25,low,Tier-1 HQ (CZ) with medium export-control exposure; no tier-3 entanglement.,,,,,,,,,,False,,,False,EUROfusion consortium member; acronym: IPP.CR,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
issp-ul,"Institute of Solid State Physics, University of Latvia",LV,1,aligned,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.55,University materials/solid-state research center; EUROfusion member,https://euro-fusion.org/eurofusion/members/,0.35,0.55,Solid-state physics research; limited nuclear exposure,https://euro-fusion.org/eurofusion/members/,Low,0.6,Academic research,0,University research center,Lab Scale,University institute,,,,False,,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.2,low,Academic / lab research operator with no physical production line and no critical material dependencies.,0.15,low,Tier-1 HQ (LV) with low export-control exposure; no tier-3 entanglement.,,,,,,,,,,False,,,False,EUROfusion consortium member; acronym: ISSP-UL,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
ist-ipfn,Instituto de Plasmas e Fusao Nuclear - Instituto Superior Tecnico,PT,1,aligned,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.6,Portuguese plasma & fusion institute; EUROfusion member.,https://euro-fusion.org/eurofusion/members/,0.4,0.55,Academic plasma research.,https://euro-fusion.org/eurofusion/members/,Medium,0.5,Plasma diagnostics dual-use.,0,Academic.,Lab Scale,University-affiliated research institute.,,,,False,,0.12,low,National lab / university / open-source project funded by government appropriations or institutional budgets rather than VC. Not exposed to commercial burn-rate risk.,0.12,low,Not a commercial entity (national lab / university / open-source project); commercial traction is not the relevant metric. Mission is research/public-goods delivery.,0.15,low,Academic / national lab — no commercial production scaling required. Role Operator.,0.2,low,"HQ PT (tier 1), foreign ownership None, manufacturing in n/a, export-control Medium. Tier-1 base with limited export-control / cross-border factors.",,,,,,,,,,False,,,False,EUROfusion consortium member; acronym: IST/IPFN,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
enea,"Italian National Agency for New Technologies, Energy and Sustainable Economic Development",IT,1,aligned,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.65,Italian national agency — EUROfusion member operating plasma facilities,https://euro-fusion.org/eurofusion/members/,0.55,0.6,National agency engaged in fusion research at lab scale,https://euro-fusion.org/eurofusion/members/,Medium,0.55,EU member-state nuclear research agency,Unknown,Government agency not a commercial vendor,Lab Scale,National research agency runs research facilities,,,,False,,0.15,low,"Government-funded national lab / university research entity; not VC-dependent. Operates on programmatic budgets, not commercial revenue. Financial sustainability tied to public funding rather than burn rate.",0.15,low,"Not a commercial entity — public research institution / open-source project; commercial market-traction risk is not applicable. Mission is research, not product sales.",0.2,low,Academic / national-lab research entity at lab scale with no manufacturing scale-up plans — manufacturing-risk dimension not applicable.,0.25,medium,Tier-1 HQ (IT) with Medium export-control exposure and no foreign-ownership flag; baseline allied jurisdiction risk only.,,,,,,,,,,False,,,False,EUROfusion consortium member; acronym: ENEA,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
jorek-github,JOREK — Nonlinear MHD code,FR,,,,,,,,0,0,supplier.simulation_software,supplier.simulation_software|magnetic_confinement.tokamak,3,concept_lts_tokamak,deterministic,0.7,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.,https://github.com/jorek-team/jorek-public,concept_lts_tokamak|milestone_iter_construction|tech_ai_ml_control,deterministic|deterministic|deterministic,0.70|0.80|0.70,description match '\bITER\b': ITER is the flagship LTS tokamak burning-plasma demo.|description match '\bITER\b': Description mentions ITER — assigning to ITER construction milestone.|approach tag 'supplier.simulation_software': Simulation-software supplier maps to AI/ML & computational enabling-tech node.,https://github.com/jorek-team/jorek-public|https://github.com/jorek-team/jorek-public|https://github.com/jorek-team/jorek-public,||,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Component Manufacturer,0.4,Nonlinear MHD simulation software supplier,https://github.com/jorek-team/jorek-public,0.15,0.75,Open-source simulation software for fusion physics,https://github.com/jorek-team/jorek-public,Medium,0.5,Plasma simulation software may have dual-use restrictions,Unknown,Open-source academic project,Lab Scale,Open-source academic simulation tool,,,,False,,0.2,low,"JOREK — Nonlinear MHD code is an open-source / community project, not a venture-backed entity; no commercial burn-rate risk. Sustainability depends on volunteer maintainers rather than runway.",0.15,low,JOREK — Nonlinear MHD code is a non-commercial open-source community project; commercial traction is not applicable. Marking low risk by convention.,0.1,low,JOREK — Nonlinear MHD code is pure software / simulation – no physical manufacturing exposure.,0.28,medium,"JOREK — Nonlinear MHD code (FR, tier=None): unknown tier (iso=FR), Medium export exposure.",,,,github.com,,,,,,False,,,False,Nonlinear MHD simulation (Fortran); ITER disruption + ELM-control workhorse.,manual,https://github.com/jorek-team/jorek-public,github_curated_v10,0.75,2026-05-11 19:44:00
jsi,Jozef Stefan Institute,SI,1,aligned,,,,,,0,0,,,2,concept_lts_tokamak,deterministic,0.55,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).,https://euro-fusion.org/eurofusion/members/,concept_lts_tokamak|concept_stellarator,deterministic|deterministic,0.55|0.45,source signature 'euro-?fusion\.org': EUROfusion consortium member — primary focus is JET / ITER (LTS tokamak).|source signature 'euro-?fusion\.org': EUROfusion also covers W7-X stellarator programme — secondary tag.,https://euro-fusion.org/eurofusion/members/|https://euro-fusion.org/eurofusion/members/,|,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,Operator,0.8,Slovenian national research institute; EUROfusion member,https://euro-fusion.org/eurofusion/members/,0.55,0.55,National nuclear/plasma research institute,https://euro-fusion.org/eurofusion/members/,Medium,0.55,National research institute with nuclear scope,0,Research institute,Lab Scale,Research institute,,,,False,,0.15,low,National lab / university research entity funded by government appropriations rather than VC; minimal burn-out risk.,0.15,low,"National lab / university research entity — not a commercial entity; revenue model is appropriated funding, not market sales.",0.2,low,Academic / lab research operator with no physical production line and no critical material dependencies.,0.25,low,Tier-1 HQ (SI) with medium export-control exposure; no tier-3 entanglement.,,,,,,,,,,False,,,False,EUROfusion consortium member; acronym: JSI,manual,https://euro-fusion.org/eurofusion/members/,,0.6,2026-05-11T14:52:49+00:00
jurlina-coenergy,Jurlina Coenergy,,,,,,,,,0,0,,,0,,,,,,,,,,,,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,manual,https://www.crunchbase.com/organization/jurlina-coenergy,serp:crunchbase,0.55,2026-05-11 19:38:17
k-l-gates,K&L Gates,US,1,aligned,,,,,,0,0,supplier.engineering_services,supplier.engineering_services,1,concept_lts_tokamak,llm,0.4,Law firm advising fusion sector; default to dominant fusion concept at low confidence.,https://www.fusionindustryassociation.org/about/members/,concept_lts_tokamak,llm,0.40,Law firm advising fusion sector; default to dominant fusion concept at low confidence.,https://www.fusionindustryassociation.org/about/members/,Legal Services > Fusion,Unknown,No funding_total_usd recorded — VC stage not inferable from totals.,,,,0,System Integrator,0.3,US law firm (engineering_services tag misleading).,https://www.fusionindustryassociation.org/about/members/,0.2,0.65,Legal services.,https://www.fusionindustryassociation.org/about/members/,Low,0.7,Legal services firm.,20+,Major global law firm.,Commercial Factory,Established services firm.,,,,False,,0.1,low,"Established large enterprise / public conglomerate with diversified revenue; fusion/fission work is one program of many. Customer band 20+, role System Integrator. Burn-rate risk is negligible.",0.18,low,Diversified incumbent with customer band 20+ and Commercial Factory; fusion/fission is a small program riding existing customer relationships.,0.08,low,Professional services / legal / engineering consultancy — no manufacturing exposure. Role System Integrator.,0.15,low,"HQ US (tier 1), foreign ownership None, manufacturing in n/a, export-control Low. Tier-1 base with limited export-control / cross-border factors.",,,,klgates.com,,,,,,False,,,False,,fia,https://www.fusionindustryassociation.org/about/members/,,0.95,2026-05-11T14:52:49+00:00
